

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
0206B.OP7     Stage 2 calibration 0206B




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

      Actual   0206B    |0206B   
1999     2195      2995 |   1.364
2000      591       806 |   1.364
2001      543       741 |   1.365
2002   500000     33549 |   0.067

CEILINGS SPECIFIED FOR WCVI T
Catch level comparison

      Actual   0206B    |0206B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   480373    556447 |   1.158
1980   488155    476094 |   0.975
1981   397518    482835 |   1.215
1982   543783    505211 |   0.929
1983   385367    491292 |   1.275
1984   460057    701339 |   1.524
1985   354068    412919 |   1.166
1986   342063    398919 |   1.166
1987   378931    441915 |   1.166
1988   408724    476660 |   1.166
1989   203695    237552 |   1.166
1990   297974    347502 |   1.166
1991   202919    236647 |   1.166
1992   346741    404375 |   1.166
1993   274745    320412 |   1.166
1994   145928    170183 |   1.166
1995    81258     94764 |   1.166
1996        4         5 |   1.250
1997    52748     61516 |   1.166
1998     2282      2661 |   1.166
1999     5307      6189 |   1.166
2000    63404     73943 |   1.166
2001    77491     90371 |   1.166
2002   500000    451890 |   0.904

CEILINGS SPECIFIED FOR WA/OR T
Catch level comparison

      Actual   0206B    |0206B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   138258    235589 |   1.704
1980   133523    187411 |   1.404
1981   124315    194861 |   1.567
1982   166991    200178 |   1.199
1983    80783     70976 |   0.879
1984    32532     43493 |   1.337
1985    64508     88933 |   1.379
1986    81929    112950 |   1.379
1987   124131    171131 |   1.379
1988   157879    217657 |   1.379
1989   140605    193842 |   1.379
1990   112512    155112 |   1.379
1991    88715    122305 |   1.379
1992    99565    137263 |   1.379
1993    65955     90927 |   1.379
1994     7655     10553 |   1.379
1995    15783     21759 |   1.379
1996    22070     30426 |   1.379
1997    20790     28662 |   1.379
1998    20767     28630 |   1.379
1999    45154     62251 |   1.379
2000    20717     28561 |   1.379
2001    55980     77176 |   1.379
2002   500000    154672 |   0.309

CEILINGS SPECIFIED FOR Geo St T
Catch level comparison

      Actual   0206B    |0206B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   257278    248335 |   0.965
1980   273122    212881 |   0.779
1981   238876    207832 |   0.870
1982   178498    189299 |   1.061
1983   105061    155517 |   1.480
1984    88158    126961 |   1.440
1985    55686     55678 |   1.000
1986    43899     43893 |   1.000
1987    38695     38689 |   1.000
1988    19611     19608 |   1.000
1989    28474     28470 |   1.000
1990    34384     34379 |   1.000
1991    32230     32225 |   1.000
1992    37250     37245 |   1.000
1993    33356     33351 |   1.000
1994    12988     12986 |   1.000
1995        3         3 |   1.000
1996        2         2 |   1.000
1997     2300      2300 |   1.000
1998      106       106 |   1.000
1999      169       169 |   1.000
2000      956       956 |   1.000
2001      248       248 |   1.000
2002   500000     21083 |   0.042

CEILINGS SPECIFIED FOR Alaska N
Catch level comparison

      Actual   0206B    |0206B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    28455     15459 |   0.543
1980    20114     15251 |   0.758
1981    18951     16710 |   0.882
1982    48999     18137 |   0.370
1983    19655     14841 |   0.755
1984    32398     18418 |   0.568
1985    32623     19124 |   0.586
1986    20564     12055 |   0.586
1987    13979      8194 |   0.586
1988    17426     10215 |   0.586
1989    18579     10891 |   0.586
1990    16117      9448 |   0.586
1991    21040     12334 |   0.586
1992    24005     14072 |   0.586
1993    16149      9467 |   0.586
1994    22549     13218 |   0.586
1995    26381     15465 |   0.586
1996     8391      4919 |   0.586
1997    11428      6699 |   0.586
1998    13336      7818 |   0.586
1999    12944      7588 |   0.586
2000    11078      6494 |   0.586
2001    13476      7900 |   0.586
2002   500000     11024 |   0.022

CEILINGS SPECIFIED FOR North N
Catch level comparison

      Actual   0206B    |0206B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    55472     36529 |   0.659
1980    35882     32471 |   0.905
1981    53337     34850 |   0.653
1982    77462     34844 |   0.450
1983    25318     26742 |   1.056
1984    47293     29838 |   0.631
1985    63177     41853 |   0.662
1986    38061     25214 |   0.662
1987    38579     25558 |   0.662
1988    27550     18251 |   0.662
1989    42005     27827 |   0.662
1990    32132     21287 |   0.662
1991    49303     32662 |   0.662
1992    35004     23189 |   0.662
1993    35883     23772 |   0.662
1994    18910     12527 |   0.662
1995    24300     16098 |   0.662
1996    19356     12823 |   0.662
1997    15516     10279 |   0.662
1998    21602     14311 |   0.662
1999     8377      5550 |   0.663
2000    16439     10890 |   0.662
2001    11899      7883 |   0.662
2002   500000     25143 |   0.050

CEILINGS SPECIFIED FOR Centr N
Catch level comparison

      Actual   0206B    |0206B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    76120     79029 |   1.038
1980    49142     74697 |   1.520
1981    29458     65739 |   2.232
1982    47082     59667 |   1.267
1983    32575     12364 |   0.380
1984     9644      3827 |   0.397
1985    27141     32847 |   1.210
1986    55391     67036 |   1.210
1987    21395     25893 |   1.210
1988    21224     25686 |   1.210
1989     6275      7594 |   1.210
1990    28489     34478 |   1.210
1991    15024     18183 |   1.210
1992    17030     20610 |   1.210
1993     7791      9429 |   1.210
1994     9310     11267 |   1.210
1995     3992      4831 |   1.210
1996     3089      3738 |   1.210
1997     3739      4525 |   1.210
1998     4983      6031 |   1.210
1999     4342      5255 |   1.210
2000     3485      4218 |   1.210
2001     4589      5554 |   1.210
2002   500000     17171 |   0.034

CEILINGS SPECIFIED FOR J De F N
Catch level comparison

      Actual   0206B    |0206B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    34912     19644 |   0.563
1980     7883     18494 |   2.346
1981    29245     19231 |   0.658
1982    16961     18038 |   1.063
1983     3689     27348 |   7.413
1984    20802     10745 |   0.517
1985    44617     44620 |   1.000
1986    59851     59855 |   1.000
1987    11255     11256 |   1.000
1988    11781     11782 |   1.000
1989    32008     32010 |   1.000
1990    12798     12799 |   1.000
1991    11780     11781 |   1.000
1992    15605     15606 |   1.000
1993     2813      2813 |   1.000
1994    13840     13841 |   1.000
1995     1530      1530 |   1.000
1996      608       608 |   1.000
1997      386       386 |   1.000
1998      150       150 |   1.000
1999      216       216 |   1.000
2000       22        22 |   1.000
2001       47        47 |   1.000
2002   500000     12005 |   0.024

CEILINGS SPECIFIED FOR PgtNth N
Catch level comparison

      Actual   0206B    |0206B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    64689     52368 |   0.810
1980    75658     53969 |   0.713
1981    69236     50579 |   0.731
1982    61310     51568 |   0.841
1983    44638     52385 |   1.174
1984    45552     41281 |   0.906
1985    46363     38822 |   0.837
1986    38000     31829 |   0.838
1987    40000     33498 |   0.837
1988    42000     35158 |   0.837
1989    26000     21769 |   0.837
1990    13902     11636 |   0.837
1991    15143     12674 |   0.837
1992    14938     12502 |   0.837
1993    14636     12252 |   0.837
1994    19727     16518 |   0.837
1995    10030      8394 |   0.837
1996     4397      3679 |   0.837
1997    30261     25323 |   0.837
1998     3063      2563 |   0.837
1999      769       643 |   0.836
2000     3223      2697 |   0.837
2001     1895      1586 |   0.837
2002   500000     20131 |   0.040

CEILINGS SPECIFIED FOR John St N
Catch level comparison

      Actual   0206B    |0206B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    44323     70274 |   1.585
1980    48881     65063 |   1.331
1981    49393     59945 |   1.214
1982    43134     50581 |   1.173
1983    59876     94732 |   1.582
1984    38065     36344 |   0.955
1985    50948     67699 |   1.329
1986    25422     33780 |   1.329
1987    21134     28083 |   1.329
1988    10785     14331 |   1.329
1989    36639     48685 |   1.329
1990    23733     31536 |   1.329
1991    19714     26196 |   1.329
1992    13896     18465 |   1.329
1993    22858     30373 |   1.329
1994    11683     15524 |   1.329
1995     1644      2185 |   1.329
1996      555       737 |   1.328
1997      900      1196 |   1.329
1998       77       102 |   1.325
1999      158       210 |   1.329
2000      861      1144 |   1.329
2001      303       403 |   1.330
2002   500000     24503 |   0.049

CEILINGS SPECIFIED FOR Alaska S
Catch level comparison

      Actual   0206B    |0206B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    16581     11818 |   0.713
1980    20213     12842 |   0.635
1981    21300     12125 |   0.569
1982    25756     13978 |   0.543
1983    22321     16304 |   0.730
1984    22050     39795 |   1.805
1985    23032     19195 |   0.833
1986    19049     15876 |   0.833
1987    20294     16913 |   0.833
1988    22232     18528 |   0.833
1989    26859     22385 |   0.833
1990    39550     32961 |   0.833
1991    48373     40314 |   0.833
1992    35183     29322 |   0.833
1993    41801     34837 |   0.833
1994    35365     29473 |   0.833
1995    35410     29511 |   0.833
1996    40024     33356 |   0.833
1997    54201     45172 |   0.833
1998    46768     38977 |   0.833
1999    54528     45444 |   0.833
2000    41846     34875 |   0.833
2001    46998     39169 |   0.833
2002   500000     44212 |   0.088

CEILINGS SPECIFIED FOR Nor/Cen S
Catch level comparison

      Actual   0206B    |0206B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    15302     23127 |   1.511
1980    19669     22943 |   1.166
1981    11425     22600 |   1.978
1982    17274     23213 |   1.344
1983    12353     26528 |   2.147
1984    10525     28754 |   2.732
1985     9867     16778 |   1.700
1986    12619     21457 |   1.700
1987    13827     23511 |   1.700
1988    19307     32829 |   1.700
1989    35650     60619 |   1.700
1990    31967     54356 |   1.700
1991    32496     55256 |   1.700
1992    37881     64412 |   1.700
1993    38232     65009 |   1.700
1994    38947     66225 |   1.700
1995    30000     51012 |   1.700
1996    11000     18704 |   1.700
1997    47429     80648 |   1.700
1998    49375     83957 |   1.700
1999    45633     77594 |   1.700
2000    32100     54582 |   1.700
2001    45211     76876 |   1.700
2002   500000     64468 |   0.129

CEILINGS SPECIFIED FOR WCVI S
Catch level comparison

      Actual   0206B    |0206B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979     4100      8091 |   1.973
1980     6100      6874 |   1.127
1981     8800      6896 |   0.784
1982    10000      7084 |   0.708
1983    28000      5777 |   0.206
1984    21200      6542 |   0.309
1985    23100     12189 |   0.528
1986    17100      9023 |   0.528
1987    34800     18363 |   0.528
1988    12800      6754 |   0.528
1989    38800     20474 |   0.528
1990    35000     18468 |   0.528
1991    39500     20843 |   0.528
1992    26200     13825 |   0.528
1993    28800     15197 |   0.528
1994    25400     13403 |   0.528
1995    13956      7364 |   0.528
1996    10229      5398 |   0.528
1997     6400      3377 |   0.528
1998     4177      2204 |   0.528
1999    31106     16414 |   0.528
2000    38038     20072 |   0.528
2001    40179     21201 |   0.528
2002   500000     19192 |   0.038

CEILINGS SPECIFIED FOR Wash Ocn S
Catch level comparison

      Actual   0206B    |0206B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    82316    101935 |   1.238
1980    59102     90338 |   1.529
1981    96167     91245 |   0.949
1982   114987     77276 |   0.672
1983    51829     31462 |   0.607
1984     6991     11573 |   1.655
1985    30156     29602 |   0.982
1986    23200     22773 |   0.982
1987    44600     43780 |   0.982
1988    19400     19043 |   0.982
1989    20900     20516 |   0.982
1990    32900     32295 |   0.982
1991    13300     13055 |   0.982
1992    18900     18553 |   0.982
1993    13600     13350 |   0.982
1994        0         0 | - NA - 
1995      600       589 |   0.982
1996      200       196 |   0.980
1997     4152      4076 |   0.982
1998     2292      2250 |   0.982
1999    10820     10621 |   0.982
2000     9234      9064 |   0.982
2001    25400     24933 |   0.982
2002   500000     22406 |   0.045

CEILINGS SPECIFIED FOR PgtNth S
Catch level comparison

      Actual   0206B    |0206B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    84461     67796 |   0.803
1980    68646     63974 |   0.932
1981    61079     62640 |   1.026
1982    36795     60726 |   1.650
1983    73226     91248 |   1.246
1984    73762     57990 |   0.786
1985    56877     57792 |   1.016
1986    84000     85352 |   1.016
1987    67000     68078 |   1.016
1988    48000     48773 |   1.016
1989    61000     61982 |   1.016
1990    58273     59211 |   1.016
1991    44782     45503 |   1.016
1992    45226     45954 |   1.016
1993    39350     39983 |   1.016
1994     7456      7576 |   1.016
1995    14212     14441 |   1.016
1996    17500     17782 |   1.016
1997    21393     21737 |   1.016
1998     5228      5312 |   1.016
1999     5461      5549 |   1.016
2000     6117      6215 |   1.016
2001     6000      6097 |   1.016
2002   500000     42628 |   0.085

CEILINGS SPECIFIED FOR PgtSth S
Catch level comparison

      Actual   0206B    |0206B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   156402     88901 |   0.568
1980   142799     87847 |   0.615
1981   106048     86421 |   0.815
1982    85703     85911 |   1.002
1983   123752     54063 |   0.437
1984   102740     53461 |   0.520
1985    92603     58935 |   0.636
1986    88000     56006 |   0.636
1987    59000     37549 |   0.636
1988    63000     40095 |   0.636
1989    75000     47732 |   0.636
1990    71000     45187 |   0.636
1991    48859     31095 |   0.636
1992    51656     32875 |   0.636
1993    41034     26115 |   0.636
1994    40830     25985 |   0.636
1995    55587     35377 |   0.636
1996    54570     34730 |   0.636
1997    39032     24841 |   0.636
1998    20886     13292 |   0.636
1999    25951     16516 |   0.636
2000    23774     15130 |   0.636
2001    24000     15274 |   0.636
2002   500000     42838 |   0.086

CEILINGS SPECIFIED FOR Geo St S
Catch level comparison

      Actual   0206B    |0206B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   350000    520062 |   1.486
1980   371000    474364 |   1.279
1981   253300    443541 |   1.751
1982   163793    302262 |   1.845
1983   198433    205005 |   1.033
1984   369445    515981 |   1.397
1985   234838    338802 |   1.443
1986   181896    262423 |   1.443
1987   121081    174684 |   1.443
1988   119117    171851 |   1.443
1989   132846    191658 |   1.443
1990   111914    161459 |   1.443
1991   115523    166666 |   1.443
1992   116579    168189 |   1.443
1993   125762    181438 |   1.443
1994    72285    104286 |   1.443
1995    65035     93826 |   1.443
1996   100032    144317 |   1.443
1997    59900     86418 |   1.443
1998    24120     34798 |   1.443
1999    53400     77041 |   1.443
2000    21912     31613 |   1.443
2001    31259     45098 |   1.443
2002   500000    132284 |   0.265


TERMINAL RUN COMPARISONS
************************
OPTION FILE   DESCRIPTION
===========   ==============================================
0206B.OP7     Stage 2 calibration 0206B




TERMINAL RUN CALIBRATION FOR NTH
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0206B    |0206B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    65589     69513 |   1.060
1980    73819     73183 |   0.991
1981    77497     76905 |   0.992
1982    81130     79067 |   0.975
1983    79798     88441 |   1.108
1984   104271    103716 |   0.995
1985   137688    127819 |   0.928
1986   160810    150125 |   0.934
1987   146249    155768 |   1.065
1988   170827    169783 |   0.994
1989   182280    173196 |   0.950
1990   171153    174312 |   1.018
1991   155317    167451 |   1.078
1992   186898    175433 |   0.939
1993   185544    170909 |   0.921
1994   137418    146067 |   1.063
1995   113944    144224 |   1.266
1996   215259    172172 |   0.800
1997   140139    158746 |   1.133
1998   138986    143609 |   1.033
1999   151341    154938 |   1.024
2000   188482    189533 |   1.006
2001   228774    228246 |   0.998
2002        0    228073 | - NA - 

TERMINAL RUN CALIBRATION FOR FRE
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0206B    |0206B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979   104568     94654 |   0.905
1980    68973     78417 |   1.137
1981    64315     71081 |   1.105
1982    81206     75761 |   0.933
1983    72672     80458 |   1.107
1984    93287     99446 |   1.066
1985   122149    115708 |   0.947
1986   144836    130125 |   0.898
1987   128095    129867 |   1.014
1988   129394    127446 |   0.985
1989   101605    113594 |   1.118
1990   129910    118307 |   0.911
1991   110503    108954 |   0.986
1992    93570    101157 |   1.081
1993    89587    101005 |   1.127
1994   126656    108068 |   0.853
1995   110200    124840 |   1.133
1996   160600    153173 |   0.954
1997   167100    152510 |   0.913
1998   150500    142491 |   0.947
1999   105500    123386 |   1.170
2000   116233    132235 |   1.138
2001   180952    169665 |   0.938
2002        0    170232 | - NA - 

TERMINAL RUN CALIBRATION FOR RBH+RBT
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0206B    |0206B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979   107087     76489 |   0.714
1980    90652    118527 |   1.307
1981    97533     82554 |   0.846
1982   150701    155176 |   1.030
1983   151745    138086 |   0.910
1984   155546    167127 |   1.074
1985   131030    128794 |   0.983
1986    77107     81443 |   1.056
1987   100040    109809 |   1.098
1988   166674    158545 |   0.951
1989   222590    222397 |   0.999
1990   254204    260394 |   1.024
1991   360656    347755 |   0.964
1992   293617    281591 |   0.959
1993   338375    301412 |   0.891
1994   186849    219460 |   1.175
1995    62390    103442 |   1.658
1996    85412     94032 |   1.101
1997   145202    152106 |   1.048
1998   184420    173607 |   0.941
1999    98410     90208 |   0.917
2000    37055     36376 |   0.982
2001    86787     66979 |   0.772
2002   109882    128068 |   1.166

TERMINAL RUN CALIBRATION FOR GSH
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0206B    |0206B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    13290     15627 |   1.176
1980    13001     13881 |   1.068
1981    11430      9469 |   0.828
1982    10125      9593 |   0.947
1983    10871     10918 |   1.004
1984    14140     11387 |   0.805
1985    17376     19215 |   1.106
1986    15077     15866 |   1.052
1987    11423     12140 |   1.063
1988     7457      7705 |   1.033
1989    12899     12332 |   0.956
1990    13317     15123 |   1.136
1991    14561     17628 |   1.211
1992    15185     13980 |   0.921
1993    15192     10053 |   0.662
1994    14206     11901 |   0.838
1995     9198     16663 |   1.812
1996    18647     18818 |   1.009
1997    29331     21013 |   0.716
1998    20655     18929 |   0.916
1999    23527     21459 |   0.912
2000    20286     25679 |   1.266
2001    27458     29247 |   1.065
2002        0     25051 | - NA - 

TERMINAL RUN CALIBRATION FOR NKF
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0206B    |0206B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    82790     91654 |   1.107
1980   113292    100903 |   0.891
1981    90282    100262 |   1.111
1982   111772    103622 |   0.927
1983    83361    106793 |   1.281
1984   133521    114137 |   0.855
1985   136902    129040 |   0.943
1986   111231    104278 |   0.937
1987    67749     76435 |   1.128
1988    50918     62675 |   1.231
1989    75652     77626 |   1.026
1990   105152     81195 |   0.772
1991    41085     52448 |   1.277
1992    27703     34532 |   1.247
1993    36504     30243 |   0.828
1994    29073     29036 |   0.999
1995    22673     26168 |   1.154
1996    30165     28355 |   0.940
1997    35576     31395 |   0.882
1998    29807     34107 |   1.144
1999    41186     36482 |   0.886
2000    33588     36158 |   1.077
2001    36450     42949 |   1.178
2002    54420     50361 |   0.925

TERMINAL RUN CALIBRATION FOR PSF+PSY
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0206B    |0206B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    53050     62927 |   1.186
1980    67691     66112 |   0.977
1981    75073     65876 |   0.877
1982    50039     60295 |   1.205
1983    56512     62458 |   1.105
1984    77796     64532 |   0.830
1985    62493     65259 |   1.044
1986    60276     62434 |   1.036
1987    71909     73969 |   1.029
1988    79297     81631 |   1.029
1989    98384     91248 |   0.927
1990    84122     76321 |   0.907
1991    54993     58779 |   1.069
1992    39661     45397 |   1.145
1993    44560     46819 |   1.051
1994    60604     65497 |   1.081
1995    99121     82205 |   0.829
1996    83105     81778 |   0.984
1997    66406     71676 |   1.079
1998    77297     83936 |   1.086
1999   116204     96968 |   0.834
2000    76777     93619 |   1.219
2001   105955    111382 |   1.051
2002   124608    114889 |   0.922

TERMINAL RUN CALIBRATION FOR PSN
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0206B    |0206B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    28435     27061 |   0.952
1980    23341     21746 |   0.932
1981    12131     15830 |   1.305
1982    13438     18334 |   1.364
1983    29377     24080 |   0.820
1984    23234     24173 |   1.040
1985    27595     26267 |   0.952
1986    23951     28607 |   1.194
1987    42059     39960 |   0.950
1988    47124     46162 |   0.980
1989    51605     54114 |   1.049
1990    61372     51311 |   0.836
1991    37257     40796 |   1.095
1992    26453     28233 |   1.067
1993    21252     24008 |   1.130
1994    31120     29485 |   0.947
1995    36749     33696 |   0.917
1996    36965     33418 |   0.904
1997    21288     26413 |   1.241
1998    29612     28048 |   0.947
1999    31104     28284 |   0.909
2000    20050     22905 |   1.142
2001    18900     21288 |   1.126
2002    19801     20008 |   1.010

TERMINAL RUN CALIBRATION FOR SKG
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0206B    |0206B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    24124     26322 |   1.091
1980    30887     29765 |   0.964
1981    21430     24025 |   1.121
1982    24053     21692 |   0.902
1983    15270     14955 |   0.979
1984    15764     18104 |   1.148
1985    25891     28532 |   1.102
1986    22541     19276 |   0.855
1987    13344     13112 |   0.983
1988    14984     15815 |   1.055
1989    13391     15710 |   1.173
1990    19381     15945 |   0.823
1991     8564      9890 |   1.155
1992     9114      8084 |   0.887
1993     6926      6488 |   0.937
1994     6189      7409 |   1.197
1995     9573      9039 |   0.944
1996    11768      8642 |   0.734
1997     5931     10777 |   1.817
1998    14541     10482 |   0.721
1999     4924      8523 |   1.731
2000    16843     15224 |   0.904
2001    14005     14406 |   1.029
2002    13455     12635 |   0.939

TERMINAL RUN CALIBRATION FOR SNO
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0206B    |0206B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    13583     14635 |   1.077
1980    17616     14366 |   0.816
1981     9776     11655 |   1.192
1982     9112     10102 |   1.109
1983    11052      9963 |   0.901
1984     8819      9288 |   1.053
1985     9352      9007 |   0.963
1986     8664      8390 |   0.968
1987     6967      7641 |   1.097
1988     7744      7240 |   0.935
1989     6263      7158 |   1.143
1990     8437      6944 |   0.823
1991     5046      5784 |   1.146
1992     4355      4959 |   1.139
1993     5498      4951 |   0.901
1994     5017      4649 |   0.927
1995     3358      4156 |   1.238
1996     4869      4457 |   0.915
1997     4408      4856 |   1.102
1998     6364      5467 |   0.859
1999     4832      5497 |   1.138
2000     6000      5690 |   0.948
2001     5760      6220 |   1.080
2002     6700      6524 |   0.974

TERMINAL RUN CALIBRATION FOR WCH
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0206B    |0206B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    24200     26533 |   1.096
1980    31280     26333 |   0.842
1981    23049     23397 |   1.015
1982    19078     20123 |   1.055
1983    15164     18411 |   1.214
1984    21608     19655 |   0.910
1985    22278     22808 |   1.024
1986    23768     31193 |   1.312
1987    44661     46643 |   1.044
1988    78721     64274 |   0.816
1989    77163     66671 |   0.864
1990    47813     60170 |   1.258
1991    51599     56586 |   1.097
1992    68650     60593 |   0.883
1993    60805     58152 |   0.956
1994    47047     51287 |   1.090
1995    51450     49491 |   0.962
1996    57841     48588 |   0.840
1997    23656     34106 |   1.442
1998    24262     23311 |   0.961
1999    13244     19360 |   1.462
2000    22736     20537 |   0.903
2001    22859     24702 |   1.081
2002        0     23678 | - NA - 

TERMINAL RUN CALIBRATION FOR URB
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0206B    |0206B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    89200     87412 |   0.980
1980    76800     81136 |   1.056
1981    66700     80181 |   1.202
1982    79000     92965 |   1.177
1983    86000     68466 |   0.796
1984   131300    130357 |   0.993
1985   196500    218543 |   1.112
1986   281500    305276 |   1.084
1987   420600    388721 |   0.924
1988   339900    379935 |   1.118
1989   261400    215704 |   0.825
1990   153600    161127 |   1.049
1991   103400    101036 |   0.977
1992    81000     77929 |   0.962
1993   103000     93183 |   0.905
1994   132800    125368 |   0.944
1995   106500    112027 |   1.052
1996   141900    179359 |   1.264
1997   161700    153959 |   0.952
1998   142300    115724 |   0.813
1999   166100    174566 |   1.051
2000   155700    172816 |   1.110
2001   232500    225600 |   0.970
2002   281000    249721 |   0.889

TERMINAL RUN CALIBRATION FOR SPR
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0206B    |0206B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    95200     98598 |   1.036
1980    97800    104384 |   1.067
1981    86300     80368 |   0.931
1982   120800    122767 |   1.016
1983    28800     25770 |   0.895
1984    47500     45511 |   0.958
1985    33200     34609 |   1.042
1986    16600     17337 |   1.044
1987     9100      9141 |   1.005
1988    12000     13833 |   1.153
1989    26800     25190 |   0.940
1990    19000     19662 |   1.035
1991    52400     52196 |   0.996
1992    29500     28979 |   0.982
1993    16800     16134 |   0.960
1994    18500     18463 |   0.998
1995    33800     33363 |   0.987
1996    33100     39554 |   1.195
1997    27300     20736 |   0.760
1998    20200     27410 |   1.357
1999    50100     39127 |   0.781
2000    20600     30444 |   1.478
2001   125000    109275 |   0.874
2002   144400    153070 |   1.060

TERMINAL RUN CALIBRATION FOR BON+CWF
----------------------------------------------
