

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
0206B.OP7     Stage 2 calibration 0206B




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

      Actual   0206B    |0206B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   334306    221616 |   0.663
1980   303885    232672 |   0.766
1981   248791    209893 |   0.844
1982   242315    202659 |   0.836
1983   269790    261995 |   0.971
1984   235629    208080 |   0.883
1985   211963    173349 |   0.818
1986   231649    189449 |   0.818
1987   231051    188960 |   0.818
1988   217091    177543 |   0.818
1989   224391    183513 |   0.818
1990   263600    215579 |   0.818
1991   231656    189455 |   0.818
1992   162610    132987 |   0.818
1993   212301    173626 |   0.818
1994   177015    144768 |   0.818
1995   115071     94108 |   0.818
1996   107312     87763 |   0.818
1997   221889    181467 |   0.818
1998   183359    149956 |   0.818
1999   132747    108564 |   0.818
2000   133911    109516 |   0.818
2001   128916    105431 |   0.818
2002   500000    198970 |   0.398

CEILINGS SPECIFIED FOR North T
Catch level comparison

      Actual   0206B    |0206B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   148726    167176 |   1.124
1980   163563    154560 |   0.945
1981   151731    153184 |   1.010
1982   174147    165741 |   0.952
1983   163055    160104 |   0.982
1984   179665    240257 |   1.337
1985   186723    198171 |   1.061
1986   152999    162379 |   1.061
1987   177457    188336 |   1.061
1988   152369    161710 |   1.061
1989   207679    220411 |   1.061
1990   154116    163564 |   1.061
1991   194015    205910 |   1.061
1992   142336    151062 |   1.061
1993   161775    171693 |   1.061
1994   164492    174577 |   1.061
1995    56863     60349 |   1.061
1996       15        16 |   1.067
1997    83488     88606 |   1.061
1998   107837    114448 |   1.061
1999    56499     59963 |   1.061
2000     9780     10380 |   1.061
2001    13100     13903 |   1.061
2002   500000    131874 |   0.264

CEILINGS SPECIFIED FOR Centr T
Catch level comparison

      Actual   0206B    |0206B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   109034    149734 |   1.373
1980    97889    135749 |   1.387
1981    79670    150314 |   1.887
1982    74731    145980 |   1.953
1983   105569    105029 |   0.995
1984    83303     63908 |   0.767
1985    28818     39321 |   1.364
1986    52556     71710 |   1.364
1987    64016     87346 |   1.364
1988    31104     42440 |   1.364
1989    19093     26051 |   1.364
1990    27312     37266 |   1.364
1991    27853     38004 |   1.364
1992    42310     57730 |   1.364
1993    24800     33838 |   1.364
1994    20136     27474 |   1.364
1995     4682      6388 |   1.364
1996        1         1 |   1.000
1997    10500     14327 |   1.364
1998     3171      4327 |   1.365
