

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
0107B.OP7     Stage 2 calibration 0107B




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

      Actual   0107B    |0107B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1988    27550     17523 |   0.636
1989    42005     26717 |   0.636
1990    32132     20437 |   0.636
1991    49303     31359 |   0.636
1992    35004     22264 |   0.636
1993    35883     22823 |   0.636
1994    18910     12028 |   0.636
1995    24300     15456 |   0.636
1996    19356     12311 |   0.636
1997    15516      9869 |   0.636
1998    21602     13740 |   0.636
1999     8377      5328 |   0.636
2000    13196      8393 |   0.636
2001   400000     17496 |   0.044

CEILINGS SPECIFIED FOR Centr N
Catch level comparison

      Actual   0107B    |0107B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    76120     78028 |   1.025
1980    49142     73919 |   1.504
1981    29458     65437 |   2.221
1982    47082     59398 |   1.262
1983    32575     12431 |   0.382
1984     9644      3800 |   0.394
1985    27141     32590 |   1.201
1986    55391     66512 |   1.201
1987    21395     25691 |   1.201
1988    21224     25485 |   1.201
1989     6275      7535 |   1.201
1990    28489     34209 |   1.201
1991    15024     18040 |   1.201
1992    17030     20449 |   1.201
1993     7791      9355 |   1.201
1994     9310     11179 |   1.201
1995     3992      4793 |   1.201
1996     3089      3709 |   1.201
1997     3739      4490 |   1.201
1998     4983      5983 |   1.201
1999     4342      5214 |   1.201
2000     3497      4199 |   1.201
2001   400000     14645 |   0.037

CEILINGS SPECIFIED FOR J De F N
Catch level comparison

      Actual   0107B    |0107B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    34912     19632 |   0.562
1980     7883     18444 |   2.340
1981    29245     18891 |   0.646
1982    16961     17614 |   1.039
1983     3689     27028 |   7.327
1984    20802     10279 |   0.494
1985    44617     43986 |   0.986
1986    59851     59004 |   0.986
1987    11255     11096 |   0.986
1988    11781     11614 |   0.986
1989    32008     31555 |   0.986
1990    12798     12617 |   0.986
1991    11780     11613 |   0.986
1992    15605     15384 |   0.986
1993     2813      2773 |   0.986
1994    13840     13644 |   0.986
1995     1530      1508 |   0.986
1996      608       599 |   0.985
1997      386       381 |   0.987
1998      150       148 |   0.987
1999      216       213 |   0.986
2000       22        22 |   1.000
2001   400000     10563 |   0.026

CEILINGS SPECIFIED FOR PgtNth N
Catch level comparison

      Actual   0107B    |0107B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    64689     52325 |   0.809
1980    75658     53857 |   0.712
1981    69236     50372 |   0.728
1982    61310     49959 |   0.815
1983    44638     52400 |   1.174
1984    45552     41048 |   0.901
1985    46363     38540 |   0.831
1986    38000     31598 |   0.832
1987    40000     33254 |   0.831
1988    42000     34903 |   0.831
1989    26000     21611 |   0.831
1990    13902     11551 |   0.831
1991    15143     12582 |   0.831
1992    14938     12412 |   0.831
1993    14636     12163 |   0.831
1994    19727     16398 |   0.831
1995    10030      8333 |   0.831
1996     4397      3653 |   0.831
1997    30261     25140 |   0.831
1998     3063      2545 |   0.831
1999      769       639 |   0.831
2000     3223      2677 |   0.831
2001   400000     17506 |   0.044

CEILINGS SPECIFIED FOR John St N
Catch level comparison

