

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
0308B.OP7     Stage 2 calibration 0308B




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

      Actual   0308B    |0308B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
CEILINGS SPECIFIED FOR North N
Catch level comparison

      Actual   0308B    |0308B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    55472     37332 |   0.673
1980    35882     32955 |   0.918
1981    53337     35463 |   0.665
1982    77462     35952 |   0.464
1983    25318     27110 |   1.071
1984    47293     30392 |   0.643
1985    63177     42695 |   0.676
1986    38061     25722 |   0.676
1987    38579     26072 |   0.676
1988    27550     18618 |   0.676
1989    42005     28387 |   0.676
1990    32132     21715 |   0.676
1991    49303     33319 |   0.676
1992    35004     23656 |   0.676
1993    35883     24250 |   0.676
1994    18910     12779 |   0.676
1995    24300     16422 |   0.676
1996    19356     13081 |   0.676
1997    15516     10486 |   0.676
1998    21602     14599 |   0.676
1999     8377      5661 |   0.676
2000    16439     11110 |   0.676
2001    11899      8041 |   0.676
2002     8056      5444 |   0.676
2003   500000     22392 |   0.045

CEILINGS SPECIFIED FOR Centr N
Catch level comparison

      Actual   0308B    |0308B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    76120     82418 |   1.083
1980    49142     76472 |   1.556
1981    29458     67219 |   2.282
1982    47082     58307 |   1.238
1983    32575     11912 |   0.366
1984     9644      3774 |   0.391
1985    27141     33379 |   1.230
1986    55391     68121 |   1.230
1987    21395     26312 |   1.230
1988    21224     26102 |   1.230
1989     6275      7717 |   1.230
1990    28489     35036 |   1.230
1991    15024     18477 |   1.230
1992    17030     20944 |   1.230
1993     7791      9582 |   1.230
1994     9310     11450 |   1.230
1995     3992      4909 |   1.230
1996     3089      3799 |   1.230
1997     3739      4598 |   1.230
1998     4983      6128 |   1.230
1999     4342      5340 |   1.230
2000     3485      4286 |   1.230
2001     4589      5644 |   1.230
2002     4827      5936 |   1.230
2003   500000     15620 |   0.031

CEILINGS SPECIFIED FOR J De F N
Catch level comparison

      Actual   0308B    |0308B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    34912     19971 |   0.572
1980     7883     18979 |   2.408
1981    29245     20151 |   0.689
1982    16961     18616 |   1.098
1983     3689     27054 |   7.334
1984    20802     10775 |   0.518
1985    44617     45424 |   1.018
1986    59851     60934 |   1.018
1987    11255     11459 |   1.018
1988    11781     11994 |   1.018
1989    32008     32587 |   1.018
1990    12798     13030 |   1.018
1991    11780     11993 |   1.018
1992    15605     15887 |   1.018
1993     2813      2864 |   1.018
1994    13840     14090 |   1.018
1995     1530      1558 |   1.018
1996      608       619 |   1.018
1997      386       393 |   1.018
1998      150       153 |   1.020
1999      216       220 |   1.019
2000       22        22 |   1.000
2001       47        48 |   1.021
2002      200       204 |   1.020
2003   500000     11669 |   0.023

CEILINGS SPECIFIED FOR PgtNth N
Catch level comparison

      Actual   0308B    |0308B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    64689     51784 |   0.801
1980    75658     53069 |   0.701
1981    69236     49535 |   0.715
1982    61310     47517 |   0.775
1983    44638     49673 |   1.113
1984    45552     40268 |   0.884
1985    46363     37498 |   0.809
1986    38000     30713 |   0.808
1987    40000     32351 |   0.809
1988    42000     33972 |   0.809
1989    26000     21034 |   0.809
1990    13902     11240 |   0.809
1991    15143     12244 |   0.809
1992    14938     12079 |   0.809
1993    14636     11837 |   0.809
1994    19727     15944 |   0.808
1995    10030      8109 |   0.808
1996     4397      3554 |   0.808
1997    30261     24461 |   0.808
1998     3063      2476 |   0.808
1999      592       479 |   0.809
2000     1731      1399 |   0.808
2001     1901      1537 |   0.809
2002     3307      2673 |   0.808
2003   500000     18923 |   0.038

CEILINGS SPECIFIED FOR John St N
Catch level comparison

      Actual   0308B    |0308B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    44323     72589 |   1.638
1980    48881     66432 |   1.359
1981    49393     60339 |   1.222
1982    43134     48175 |   1.117
1983    59876     85985 |   1.436
1984    38065     33225 |   0.873
1985    50948     65868 |   1.293
1986    25422     32867 |   1.293
1987    21134     27323 |   1.293
1988    10785     13943 |   1.293
1989    36639     47369 |   1.293
1990    23733     30683 |   1.293
1991    19714     25487 |   1.293
1992    13896     17965 |   1.293
1993    22858     29552 |   1.293
1994    11683     15104 |   1.293
1995     1644      2125 |   1.293
1996      555       718 |   1.294
1997      900      1164 |   1.293
1998       77       100 |   1.299
1999      158       204 |   1.291
2000      861      1113 |   1.293
2001      303       392 |   1.294
2002       56        72 |   1.286
2003   500000     23174 |   0.046

CEILINGS SPECIFIED FOR Alaska S
Catch level comparison

      Actual   0308B    |0308B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    16581     11889 |   0.717
1980    20213     12975 |   0.642
1981    21300     12206 |   0.573
1982    25756     14185 |   0.551
1983    22321     14188 |   0.636
1984    22050     34731 |   1.575
1985    23032     17994 |   0.781
1986    19049     14882 |   0.781
1987    20294     15855 |   0.781
1988    22251     17384 |   0.781
1989    26791     20931 |   0.781
1990    41360     32313 |   0.781
1991    45144     35269 |   0.781
1992    35346     27614 |   0.781
1993    42677     33342 |   0.781
1994    35467     27709 |   0.781
1995    35496     27732 |   0.781
1996    38975     30450 |   0.781
1997    53305     41645 |   0.781
1998    46303     36175 |   0.781
1999    53158     41530 |   0.781
2000    41439     32375 |   0.781
2001    44725     34942 |   0.781
