Year,2,15,16,17,18,19,20,21,22,23,24,26,30,37,40,41,42,43,44,45,46,47,48
1979,3809,128073,36501,177556,1012,2106,-999,-999,-999,15163,15638,65935,2523,1950,38700,4262,1960,1940,0,4450,-999,3121,27443
1980,2697,171516,47681,149173,890,2995,-999,-999,-999,8514,14512,50546,3867,350,15011,6516,4515,988,0,7,-999,2430,19528
1981,1805,145152,36880,90071,587,2104,-999,-999,-999,12978,14666,30736,2760,550,21151,4774,2613,1261,0,0,-999,2694,26122
1982,869,149274,33271,161513,1295,2946,-999,-999,-999,19975,14904,52776,3760,733,31236,4172,2726,1293,0,96,-999,2341,20922
1983,525,134492,16210,66913,178,2971,-999,-999,-999,16799,13525,36979,4092,612,23206,4195,5374,821,0,0,-999,2511,17604
1984,767,180248,16239,135309,325,1611,-999,-999,-999,17227,11553,44964,2300,550,43760,3765,3426,1332,0,80,-999,2685,26204
1985,1093,184907,25162,155418,600,2054,-999,-999,-999,19722,16212,37785,3600,385,45444,3785,3186,823,0,596,-999,2209,23368
1986,804,153000,29000,286616,646,3717,-999,-999,-999,20249,18941,44441,3950,267,57993,3250,4410,1245,0,1421,-999,1841,29542
1987,1352,127000,51000,495100,482,3523,-999,-999,-999,27821,30059,26171,4150,627,105835,4473,3625,1563,0,3561,-999,2242,41059
1988,778,133000,74000,506791,503,4473,-999,-999,-999,21912,31000,22687,4300,427,97638,5169,3745,1496,0,3702,-999,3091,43049
1989,743,156000,85000,292598,650,4720,-999,-999,-999,32579,48286,29509,4150,565,88088,5697,5247,4526,0,2500,-999,3389,41445
1990,678,179593,57770,158919,1256,5338,-999,-999,-999,32166,35107,30327,4300,923,79467,5590,4090,5626,0,2982,-999,2919,34405
1991,1217,89495,54397,114866,1896,4409,-999,-999,-999,22482,20780,28707,4256,939,79260,8448,4764,3335,0,3116,-999,2693,41350
1992,2302,63460,64223,63679,1185,5093,-999,-999,-999,11279,20360,17430,6250,251,56417,5334,6182,3204,0,4677,-999,1649,39412
1993,1442,54968,59285,71445,2827,5319,-999,-999,-999,13589,21287,29280,3279,389,64995,7528,7813,2880,0,3430,-999,5510,43504
1994,4216,63577,46059,39406,2317,5479,-999,-999,-999,16999,20414,31194,3171,593,29634,5095,3093,973,0,3195,-999,3351,33590
1995,10416,63593,46490,43787,2437,5109,-999,-999,-999,21331,16978,29258,2475,1624,36394,6346,3503,1180,0,8258,-999,5922,48351
1996,6478,61658,55408,88730,1945,7093,-999,-999,-999,16900,15741,28332,3382,1098,31672,4646,1250,3986,0,7635,-999,3968,56196
1997,4796,47522,28269,87741,2655,8042,-999,-999,-999,11524,12772,54595,0,531,45984,6843,0,1139,0,5051,-999,4929,37650
1998,4315,50915,20266,54819,493,4309,-999,-999,-999,14212,11483,29399,4750,346,34342,3197,0,779,0,18073,-999,9130,31959
1999,5316,91947,11400,91254,1279,7217,-999,-999,-999,24535,7626,21436,11700,430,45094,5201,0,0,0,8509,-999,8161,32089
2000,3444,79494,15660,92166,1475,8138,-999,-999,-999,16109,7057,35236,8600,142,49631,4568,0,0,0,12836,-999,5024,31505
2001,2256,123266,19480,243325,425,6901,-999,-999,-999,34585,9510,39575,11000,277,135040,4521,0,1024,6198,25023,-999,11843,54988
2002,2303,108566,23372,265152,536,8045,-999,-999,-999,35156,10879,33605,8000,317,143135,4764,0,723,77,24355,-999,13030,61085
2003,4579,86206,18443,233650,544,9599,-999,-999,-999,27798,11189,50088,8000,228,141114,4741,5711,491,0,19520,-999,10468,67939
2004,2677,69211,21965,244220,6425,11412,-999,-999,-999,29026,24526,59519,8000,185,140790,5774,0,524,26,18581,-999,5557,71726
2005,1055,82629,20668,183405,44850,29883,-999,-999,-999,20729,16080,41736,8000,114,87170,11538,0,809,6225,22688,-999,12154,27866
2006,1000,109557,27414,160018,34164,26403,-999,-999,-999,38403,14364,35935,8000,17,66780,9189,0,0,0,26662,-999,17019,39357
2007,1190,118628,12353,90530,9106,15523,-999,-999,-999,54536,5529,28146,8000,41,50947,6373,0,522,0,12945,-999,19421,26084
2008,1041,101322,15028,200123,7663,11896,-999,-999,-999,41188,7636,35887,11970,7,83095,4723,0,276,0,18596.586,-999,15258,15250
2009,1260,68764,18728,176224,2895,11225,-999,-999,-999,34317,9364,42014,9177,125,86056,3143,0,0,0,17485,-999,14441,21163
2010,533,80599,12794,306038,1344,10520,-999,-999,-999,38413,9754,35864,7570,294,159308,3693,2689,0,0,14324,-999,15603,51781
2011,1041,100353,39034,274873,4412,8935,-999,-999,-999,34150,14740,65090,14677,214,145092,3139,2540,646,0,20349,-999,18222,56474
2012,811,117259,29232,238961,7037,10120,-999,-999,-999,39317,11857,44624,7017,85,145108,2408,421,524,0,11396,-999,23243,45134
2013,482,105136,31111,378510,7911,6419,-999,-999,-999,25413,12014,23098,10259,72,154641,2377,2024,1506,0,11506,-999,19642,73872
2014,1097,50106,39514,453239,4789,7232,-999,-999,-999,19406,23666,52688,11973,43,177803,4122,2302,2134,0,13105,-999,11820,74673
2015,248,55959,32494,472414,7536,8730,-999,-999,-999,19190,3577,50231,12760,131.3353269,204687,2283,3442,1270,0,18487,-999,11092,107231
2016,136,55959,32494,472414,6871,6063,-999,-999,-999,22548,3503,50231,12760,30,204687,1262,3442,1270,0,18487,-999,-999,-999
