"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,3,2,3,0,70.93,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,2,4,0,281.72,0,2.45,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,2,5,0,187.33,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,1,2,0,0,1906.53,0,0,0,59.81,0,0,0,0,0,0,0,0,0
1979,4,1,3,131.2,0,1728.22,0,1.05,0,54.22,0,0,0,0,0,0,0,0,0
1979,4,1,4,5885.44,0,30.87,0,47.08,0,0.97,0,0,0,0,0,0,0,0,0
1979,4,1,5,2972.71,0,1.51,0,23.78,0,0.05,0,0,0,0,0,0,0,0,0
1979,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
