"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,3,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,1,2,0,0,1883.12,0,0,0,59.08,0,0,0,0,0,0,0,0,0
1979,4,1,3,131.24,0,1715.78,0,1.05,0,53.83,0,0,0,0,0,0,0,0,0
1979,4,1,4,5918.71,0,30.81,0,47.35,0,0.97,0,0,0,0,0,0,0,0,0
1979,4,1,5,2989.66,0,1.5,0,23.92,0,0.05,0,0,0,0,0,0,0,0,0
1979,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
