

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
9902B.OP7     9902B jsn jdf nets in cei file 20 = wcvi outside spt  mat file with frl and urbs only (no han)
9902B.OP7     9902B jsn jdf nets in cei file 20 = wcvi outside spt  mat file with frl and urbs only (no han)




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

      Actual   9902B   9902B    |9902B   9902B   
1988    19611     16687   16687 |   0.851   0.851
1989    28474     24229   24229 |   0.851   0.851
1990    34384     29258   29258 |   0.851   0.851
1991    32230     27425   27425 |   0.851   0.851
1992    37249     31696   31696 |   0.851   0.851
1993    33237     28282   28282 |   0.851   0.851
1994    12988     11052   11052 |   0.851   0.851
1995        3         3       3 |   1.000   1.000
1996        2         2       2 |   1.000   1.000
1997      855       728     728 |   0.851   0.851
1998      587       499     499 |   0.850   0.850
1999   400000     21503   21503 |   0.054   0.054

CEILINGS SPECIFIED FOR Alaska N
Catch level comparison

      Actual   9902B   9902B    |9902B   9902B   
Year   Catch    MDL Cat MDL Cat | Compare Compare
==== ========  ================ |================
1979    28455     21408   21408 |   0.752   0.752
1980    20114     19262   19262 |   0.958   0.958
1981    18951     25194   25194 |   1.329   1.329
1982    48999     25721   25721 |   0.525   0.525
1983    19655     24976   24976 |   1.271   1.271
1984    32398     29324   29324 |   0.905   0.905
1985    34168     29570   29570 |   0.865   0.865
1986    20483     17726   17726 |   0.865   0.865
1987    13952     12074   12074 |   0.865   0.865
1988    17443     15095   15095 |   0.865   0.865
1989    18540     16045   16045 |   0.865   0.865
1990    16100     13933   13933 |   0.865   0.865
1991    20048     17350   17350 |   0.865   0.865
1992    23995     20766   20766 |   0.865   0.865
1993    16503     14282   14282 |   0.865   0.865
1994    23272     20140   20140 |   0.865   0.865
1995    28600     24751   24751 |   0.865   0.865
1996     9200      7962    7962 |   0.865   0.865
1997    13892     12022   12022 |   0.865   0.865
1998    13441     11632   11632 |   0.865   0.865
1999   400000     14468   14468 |   0.036   0.036

CEILINGS SPECIFIED FOR North N
Catch level comparison

      Actual   9902B   9902B    |9902B   9902B   
Year   Catch    MDL Cat MDL Cat | Compare Compare
==== ========  ================ |================
1979    55472     41989   41989 |   0.757   0.757
1980    35882     37381   37381 |   1.042   1.042
1981    53337     41809   41809 |   0.784   0.784
1982    77462     42508   42508 |   0.549   0.549
1983    25318     22566   22566 |   0.891   0.891
1984    47293     29488   29488 |   0.624   0.624
1985    63177     46240   46240 |   0.732   0.732
1986    38061     27857   27857 |   0.732   0.732
